drug_name,excp_name,excp_drug_ratio,class
Sorafenib,caffeine,1,0
Sorafenib,succinic_acid,1,0
Sorafenib,DL-malic_acid,1,0
Sorafenib,adipic_acid,1,0
Sorafenib,Triazabicyclodecene,1,0
Sorafenib,DBU,1,0
Sorafenib,L-asparagine,1,0
Sorafenib,theobromine,1,0
Sorafenib,"3,3'-thiodipropionic_acid",1,0
Sorafenib,theophylline,1,0
Sorafenib,borneol,1,0
Sorafenib,cinnamaldehyde,1,0
Sorafenib,aspartame,1,0
Sorafenib,squalene,1,0
Sorafenib,benzaldehyde,1,0
Sorafenib,sodium_deoxycholate,1,1
Sorafenib,sucrose_octaacetate,1,0
Sorafenib,trans_anethole,1,0
Sorafenib,terpinyl_butyrate,1,0
Sorafenib,hydrocortisone,1,0
Sorafenib,neohesperidin_DC,1,0
Sorafenib,diclofenac,1,0
Sorafenib,eucalyptol,1,0
Sorafenib,beta_carotene,1,0
Sorafenib,menthol,1,0
Sorafenib,alpha-terpineol,1,0
Sorafenib,fenchyl_alcohol,1,0
Sorafenib,biotin,1,0
Sorafenib,xylitol,1,0
Sorafenib,trans-cinnamic_acid,1,0
Sorafenib,thimerosal,1,0
Sorafenib,tyramine,1,0
Sorafenib,fumaric_acid,1,0
Sorafenib,vanillin,1,0
Sorafenib,saccharin,1,0
Sorafenib,allantoin,1,0
Sorafenib,vitamin_A_palmitate,1,0
Sorafenib,acetylcholine_chloride,1,0
Sorafenib,dibutyl_phthalate,1,0
Sorafenib,trometamol,1,0
Sorafenib,benzoyl_peroxide,1,0
Sorafenib,triethyl_citrate,1,0
Sorafenib,triacetin,1,0
Sorafenib,glycerol,1,1
Sorafenib,propylene_glycol,1,0
Sorafenib,mebendazole,1,0
Sorafenib,L-proline,1,0
Sorafenib,L-lysine,1,0
Sorafenib,L-ascorbic_acid,1,0
Sorafenib,stearic_acid,1,0
Sorafenib,(R)-(+)-Limonene,1,0
Sorafenib,meglumine,1,0
Sorafenib,hydrochlorothiazide,1,0
Sorafenib,ketoprofen,1,0
Sorafenib,memantine_hydrochloride,1,0
Sorafenib,naproxen_sodium,1,0
Sorafenib,D-sorbitol,1,0
Sorafenib,rhodamine_B,1,0
Sorafenib,moxifloxacin,1,0
Sorafenib,ciprofloxacin,1,0
Sorafenib,certirizine,1,0
Sorafenib,etidronic_acid,1,0
Sorafenib,emtricitabine,1,0
Sorafenib,metoprolol(+)-tartrate,1,0
Sorafenib,phenytoin,1,0
Sorafenib,propranolol_hydrochloride,1,0
Sorafenib,captan,1,0
Sorafenib,alendronate_sodium,1,0
Sorafenib,piroxicam,1,0
Sorafenib,desipramine_hydrochloride,1,0
Sorafenib,nadolol,1,0
Sorafenib,omeprazole,1,0
Sorafenib,labetalol_hydrochloride,1,0
Sorafenib,risperidone,1,0
Sorafenib,fluconazole,1,0
Sorafenib,methotrexate_hydrate,1,0
Sorafenib,tenofovir_alafenamide,1,0
Sorafenib,carbamazepine,1,0
Lumefantrine,caffeine,1,0
Lumefantrine,succinic_acid,1,0
Lumefantrine,octyl_gallate,1,0
Lumefantrine,DL-malic_acid,1,0
Lumefantrine,adipic_acid,1,0
Lumefantrine,Triazabicyclodecene,1,0
Lumefantrine,DBU,1,0
Lumefantrine,L-asparagine,1,0
Lumefantrine,theobromine,1,0
Lumefantrine,"3,3'-thiodipropionic_acid",1,0
Lumefantrine,theophylline,1,0
Lumefantrine,borneol,1,0
